	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
36	270.231616	261.742260	0.000000	254.000000	232.000000	0.000000	-2.175600	0.466200	722.508110	21489.024044	-11727.473928	369.278448	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.291460	4.008400	-144.217062	-330.872929	-349.742135
37	270.148926	262.063837	0.000000	254.000000	232.000000	0.000000	-2.220000	0.710400	722.508110	21721.365832	-11667.729675	435.941685	0	0	0	765.000000	232.000000	0.000000	0.586560	0.156940	2.915200	-13.796714	-298.973120	-241.590497
38	270.146847	262.178304	0.000000	254.000000	232.000000	0.000000	-2.153400	0.799200	722.772410	21812.045689	-11670.495608	387.027924	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.112100	3.370700	-90.095081	-297.526733	-279.663887
39	269.935819	262.858934	0.000000	254.000000	232.000000	0.000000	-2.508600	1.154400	722.331910	22290.393023	-11510.950934	329.276666	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.067260	2.550800	-41.125644	-329.163164	-322.590148
40	269.946900	262.464507	0.000000	254.000000	232.000000	0.000000	-2.086800	0.577200	722.331910	22005.485851	-11518.954719	329.249027	0	0	0	765.000000	232.000000	0.000000	0.157920	-0.112100	2.915200	3.904738	-188.268739	-285.093936
41	269.932038	262.940758	0.000000	254.000000	232.000000	0.000000	-2.242200	1.376400	722.596210	22357.674533	-11512.430396	369.217287	0	0	0	765.000000	232.000000	0.000000	0.000000	0.179360	2.550800	5.979223	-266.365700	-188.012610
42	269.893270	263.287740	0.000000	254.000000	232.000000	0.000000	-2.220000	1.598400	722.596210	22608.402295	-11484.416321	404.755644	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.336300	3.644000	-164.582161	-211.439681	-258.433090
43	269.701889	263.513447	0.000000	254.000000	232.000000	0.000000	-1.998000	1.243200	723.389110	22796.484149	-11358.575340	306.955206	0	0	0	765.000000	232.000000	0.000000	0.270720	-0.224200	4.099500	-85.346393	-184.631296	-188.381488
44	269.623124	263.597350	0.000000	254.000000	232.000000	0.000000	-2.042400	1.176600	723.212910	22851.611239	-11298.845183	324.748305	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.156940	2.095300	-194.550130	-177.253742	-188.259051
45	269.781665	264.185716	0.000000	254.000000	232.000000	0.000000	-2.175600	1.198800	721.715210	23228.920678	-11389.867849	258.094836	0	0	0	765.000000	232.000000	0.000000	0.473760	0.000000	2.459700	55.344953	-209.403442	-252.573728
46	269.901566	264.563538	0.000000	254.000000	232.000000	0.000000	-1.975800	0.754800	722.860510	23538.895603	-11494.614458	333.660394	0	0	0	765.000000	232.000000	0.000000	0.203040	-0.582920	3.097400	-98.887245	-209.046690	-301.762191
47	269.677119	264.940794	0.000000	254.000000	232.000000	0.000000	-2.064600	0.555000	723.124810	23820.305633	-11336.514007	271.461915	0	0	0	765.000000	232.000000	0.000000	0.248160	-0.246620	1.548700	-47.702665	-265.419096	-258.327895
48	269.819471	265.525944	0.000000	254.000000	232.000000	0.000000	-2.442000	0.111000	722.331910	24216.858876	-11426.908708	280.453481	0	0	0	765.000000	232.000000	0.000000	0.518880	-0.224200	3.006300	-28.630020	-362.295640	-290.463898
49	269.618095	265.943553	0.000000	254.000000	232.000000	0.000000	-2.197800	-0.066600	721.186610	24479.636251	-11263.561007	253.754953	0	0	0	765.000000	232.000000	0.000000	0.180480	-0.201780	4.281700	-18.869446	-284.809563	-333.590622
50	269.778839	266.654745	0.000000	254.000000	232.000000	0.000000	-2.397600	0.399600	720.041310	24952.847873	-11361.416105	182.632619	0	0	0	765.000000	232.000000	0.000000	0.473760	0.201780	3.826200	-68.701799	-295.662151	-263.092640
51	269.606045	266.813706	0.000000	254.000000	232.000000	0.000000	-2.242200	0.377400	719.777010	25058.105098	-11232.872623	187.052200	0	0	0	765.000000	232.000000	0.000000	0.518880	-0.358720	4.463900	59.408468	-232.318599	-252.977090
52	269.498616	267.288476	0.000000	254.000000	232.000000	0.000000	-1.554000	0.466200	719.777010	25399.833710	-11155.547713	160.254660	0	0	0	765.000000	232.000000	0.000000	0.564000	0.156940	4.372800	60.699849	-205.744967	-354.533005
53	269.249882	267.672686	0.000000	254.000000	232.000000	0.000000	-2.530800	0.177600	718.719810	25638.666374	-10960.391959	115.998686	0	0	0	765.000000	232.000000	0.000000	0.564000	0.067260	3.917300	104.305754	-233.429266	-300.860199
54	269.309734	268.189540	0.000000	254.000000	232.000000	0.000000	-1.798200	0.133200	718.543610	26003.762498	-11000.711599	120.319034	0	0	0	765.000000	232.000000	0.000000	0.496320	-0.022420	4.372800	138.177614	-259.554425	-284.858118
